datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-11 09:00:00,8.021539306640648,46.765625,-4.059744,0.21292755,102334.4,0.0058611245
2019-01-11 10:00:00,8.332818603515648,115.53125,-4.1763153,0.31439063,102352.96,0.0059615034
2019-01-11 11:00:00,8.729943847656273,153.125,-4.2653637,0.5194585,102351.69,0.0059784437
2019-01-11 12:00:00,8.928002929687523,158.75,-4.2641935,0.8006021,102326.26,0.0059565753
2019-01-11 13:00:00,8.951257324218773,148.6875,-4.10662,1.0490311,102292.59,0.0059774313
2019-01-11 14:00:00,8.931604003906273,105.75,-3.7488103,1.1549649,102272.375,0.006021462
2019-01-11 15:00:00,8.757379150390648,44.578125,-3.183177,1.2335296,102264.69,0.00600652
2019-01-11 16:00:00,8.369226074218773,1.875,-2.8214216,1.4835974,102270.69,0.0058640493
2019-01-11 17:00:00,8.011834716796898,0.0,-2.586326,1.8857222,102284.32,0.0057959436
2019-01-11 18:00:00,7.787835693359398,0.0,-2.428385,2.304646,102295.8,0.005743046
2019-01-11 19:00:00,7.373864746093773,0.0,-2.1665807,2.5784173,102299.31,0.005745504
2019-01-11 20:00:00,7.095422363281273,0.0,-1.8243952,2.8371966,102290.734,0.0058317753
2019-01-11 21:00:00,7.155511474609398,0.0,-1.507098,3.1177392,102269.45,0.0059369346
2019-01-11 22:00:00,7.193780517578148,0.0,-1.2096976,3.3710144,102241.01,0.0060191797
2019-01-11 23:00:00,7.361322021484398,0.0,-0.90305775,3.6898863,102183.79,0.0060707536
2019-01-12 00:00:00,7.572839355468773,0.0,-0.59347206,4.088827,102140.914,0.006173787
2019-01-12 01:00:00,7.970758056640648,0.0,-0.49638054,4.634678,102112.61,0.006339815
2019-01-12 02:00:00,8.461114501953148,0.0,-0.2691382,5.090783,102076.65,0.0065326695
2019-01-12 03:00:00,8.666894531250023,0.0,-0.24545814,5.586651,102010.86,0.0067066755
2019-01-12 04:00:00,9.008569335937523,0.0,-0.6931988,6.181678,101949.98,0.006844558
2019-01-12 05:00:00,9.340356445312523,0.0,-1.060248,6.671599,101889.16,0.0069572744
2019-01-12 06:00:00,9.593530273437523,0.0,-0.8476423,6.638743,101824.56,0.0070639797
2019-01-12 07:00:00,9.695855712890648,0.0,-1.3226897,6.631789,101843.17,0.00709997
2019-01-12 08:00:00,9.782952880859398,5.248047,-1.5710816,6.486068,101830.74,0.0070490395
2019-01-12 09:00:00,9.680535888671898,48.234375,-2.2964783,6.3936787,101798.375,0.0068782982
2019-01-12 10:00:00,9.651666259765648,90.96875,-2.8917913,6.2344556,101797.37,0.006679144
